customerid,name,address,citystatezip,birthdate,phone
1001,"Jack Quinn","201 E Park St","Los Angeles, CA 91343","1960-05-14","805-287-8515"
1002,"David Powell","224C Tysens Ln","Staten Island, NY 10306","1978-04-04","516-768-1652"
1003,"Carrie Green","1608 W 53rd Way","Tampa, FL 33614","1969-01-21","727-209-0470"
1004,"Steven Miller","178½ E 7th St","Manhattan, NY 10009","1953-08-17","607-941-9563"
1005,"Christine Powers","270 W 242nd St","Bronx, NY 10463","1983-06-06","212-759-9043"
1006,"Amanda Ramirez","183-48 Camden Ave","Saint Albans, NY 11412","1962-07-08","914-421-3167"
1007,"Mark Collins","14-47 110th St","College Point, NY 11356","1967-04-14","585-554-1963"
1008,"Jill Stevens","735A Amsterdam Ave","Manhattan, NY 10025","1959-06-11","516-307-0443"
1009,"Samuel Fowler","56 Richardson St","Brooklyn, NY 11211","1988-10-24","929-869-8778"
1010,"Brenda Johnson","2821 Bronx Park E","Bronx, NY 10467","1960-09-07","914-205-2619"
1011,"Brandon Brown","85-7 67th Dr","Rego Park, NY 11374","1953-04-25","838-924-5956"
1012,"Catherine Walker","2123 Union St","Brooklyn, NY 11212","1948-03-16","315-601-6815"
1013,"Gabriella Cook","663 Park Rd SE","Lena, IL 61048","1986-05-15","773-470-6130"
1014,"Daniel Rios","76-2 157th Ave","Howard Beach, NY 11414","1955-09-01","646-289-1670"
1015,"Brandi Miranda Campbell","92-38 139th St","Jamaica, NY 11435","1993-10-25","585-570-1519"
1016,"David Moore","5326A 9th Ave","Brooklyn, NY 11219","1971-02-08","212-784-6005"
1017,"Roberto Smith","2878 E 10th Rd","Atascocita, TX 77396","1956-03-31","430-353-9430"
1018,"Rodney Stevens","254A E 72nd St","Manhattan, NY 10021","1991-10-29","585-304-1745"
1019,"Megan Heather Morris","3628D Hylan Blvd","Staten Island, NY 10308","1971-08-24","516-432-3399"
1020,"Christian Parks","57-58 Maspeth Ave","Maspeth, NY 11378","1992-03-14","838-930-1450"
1021,"Jennifer Wright","411 Fulton St","Brooklyn, NY 11201","1988-05-19","914-220-0217"
1022,"Thomas Chavez","1678 E Park Ln","Fort Worth, TX 76132","1969-04-26","325-424-7213"
1023,"Paul Watkins","243B Moore St","Brooklyn, NY 11206","1977-11-11","914-993-3164"
1024,"Nick Galvan","68 Weirfield St","Brooklyn, NY 11221","1953-10-30","838-389-7721"
1025,"Barbara Chavez","4527 NW Redwood Pl","Los Angeles, CA 91436","1948-10-24","805-659-6335"
1026,"Mary Gibson","261½ E 7th St","Manhattan, NY 10009","1969-10-27","914-237-6508"
1027,"Christopher Roberts","1860 3rd Ave","Manhattan, NY 10029","1962-02-16","607-238-4179"
1028,"Ashley Strong","124A 2nd Pl","Brooklyn, NY 11231","1945-02-01","838-731-0885"
1029,"Kristin Sullivan","39-44 97th St","Corona, NY 11368","1961-06-17","347-399-7586"
1030,"Thomas French","228 W 136th St","Manhattan, NY 10030","1988-07-17","914-459-7034"
1031,"Marco Noble","614 Bay Ridge Ave","Brooklyn, NY 11209","1983-05-31","716-251-3949"
1032,"Peter Flowers","5B Washington Terrace","Manhattan, NY 10033","1971-05-14","516-720-8605"
1033,"Donald Jacobs","225 E 161st St","Bronx, NY 10451","1983-02-01","631-288-4850"
1034,"Jonathan Wright","442-89 Seagirt Blvd","Far Rockaway, NY 11691","1970-09-08","516-525-7721"
1035,"Brett Bell","365 E 204th St","Bronx, NY 10467","1988-10-08","516-389-2123"
1036,"Gerald Gaines","1629 St Nicholas Ave","Manhattan, NY 10040","1975-03-06","315-991-7127"
1037,"Gail Jones","286 Troy Ave","Brooklyn, NY 11213","1964-08-10","607-874-7298"
1038,"Sean Gomez","4109 18th Ave","Brooklyn, NY 11230","1980-10-04","585-868-7270"
1039,"Bruce Miller","72-47 72nd St","Ridgewood, NY 11385","1999-10-17","914-929-2666"
1040,"Grant Warner III","94 Hester St","Manhattan, NY 10002","1951-10-16","631-874-1040"
1041,"Barbara Smith","34-48 35th Ave","Little Neck, NY 11363","1953-01-29","838-440-4318"
1042,"Robert Jones","4157 SE 5th Pl","Reedsburg, WI 53959","1980-03-08","608-969-1592"
1043,"Billy Davis","769A Manida St","Bronx, NY 10474","1986-03-17","315-943-3614"
1044,"Lisa Flores","4193 W Park St","Chicago, IL 60637","1990-12-28","708-425-4026"
1045,"Lauren Michelle Williams","10 Tampa Ct","Brooklyn, NY 11225","1983-09-18","516-699-0845"
1046,"Mary Browning","601 W 137th St","Manhattan, NY 10031","1998-03-21","518-883-3591"
1047,"Jeffrey Robinson","158-80 Hillside Ave","Jamaica, NY 11432","1989-09-15","516-993-0791"
1048,"Reginald Mahoney","70 West Dr","Brooklyn, NY 11215","1972-12-03","607-934-1948"
1049,"Faith Norton","20-44 20th St","Astoria, NY 11105","1964-09-15","585-849-0722"
1050,"Bianca Valencia","1736 Park Dr","Port Chester, NY 10573","1993-11-13","716-789-4269"
1051,"Stephanie Greer","228A E 88th St","Manhattan, NY 10128","1973-10-29","585-828-2042"
1052,"Thomas Novak","124-22 101st Ave","South Richmond Hill, NY 11419","1965-03-28","631-957-1809"
1053,"Daniel Owens","8190 23rd Ave","Brooklyn, NY 11214","1951-02-13","680-590-0641"
1054,"Justin Cobb","703 Chester St","Brooklyn, NY 11236","1949-10-04","516-348-7788"
1055,"Vernon Small","1300 SW Park Ave","San Diego, CA 92126","1996-08-28","628-826-5768"
1056,"Sharon Jones","237 4th Dr N","Leominster, MA 01453","1982-06-07","339-727-2710"
1057,"Holly Stone","3317 Park Rd","Charleston, SC 29409","1992-07-24","803-258-3823"
1058,"Mario Ford","2354B Jerome Ave","Bronx, NY 10468","1987-08-01","212-366-7209"
1059,"Deborah Baxter","3992 Baychester Ave","Bronx, NY 10466","1956-06-14","838-568-0712"
1060,"Angel Crosby","229 E 34th St","Manhattan, NY 10016","1990-02-03","516-488-5150"
1061,"Tiffany Flores","503 Herkimer St","Brooklyn, NY 11213","1939-07-11","516-212-8320"
1062,"Valerie Campos","294A Washington Ave","Brooklyn, NY 11205","1950-07-21","917-356-1227"
1063,"Melvin Moore","1162 E 16th St","Brooklyn, NY 11230","1939-07-20","516-462-0829"
1064,"William Bautista","365 W 128th St","Manhattan, NY 10027","1982-01-11","315-887-3630"
1065,"Jennifer Mccoy","442½ 20th St","Brooklyn, NY 11215","1976-05-09","585-217-7253"
1066,"Stephanie Fitzgerald","1674B 48th St","Brooklyn, NY 11204","1975-08-09","631-259-0721"
1067,"Richard Cruz","1736 NW Maple St","King of Prussia, PA 19406","1987-09-08","412-560-0268"
1068,"John Shaw","165-36 Grand Central Pkwy","Jamaica, NY 11432","1961-10-21","838-405-0446"
1069,"Nathan Hudson","19-60 Mott Ave","Far Rockaway, NY 11691","1987-03-08","315-297-6383"
